customer_id,name,email,age,gender,location,device_type,loyalty_status,total_spend,acquisition_date
CUST1000,Mei Bernard,mei.bernard62@gmail.com,43.0,Female,"Toronto, Canada",mobile,silver,7636.97,2025-03-27 21:27:29.000000
CUST1001,Grace Martin,grace.martin73@icloud.com,65.0,Female,"Los Angeles, USA",mobile,,1485.18,2024-09-26 18:39:51.000000
CUST1002,Alina Stewart,alina.stewart81@icloud.com,30.0,Female,"São Paulo, Brazil",desktop,platinum,,2024-10-09 04:40:14.000000
CUST1003,Erik Fontaine,erik.fontaine6@hotmail.com,56.0,Male,,tablet,gold,3291.36,2025-01-24 11:45:12.000000
CUST1004,Riya Cooper,riya.cooper12@hotmail.com,39.0,Male,"London, UK", tablet ,bronze,5828.03,2025-11-17 17:45:27.000000
CUST1005,Ines Brown,ines.brown47@icloud.com,58.0,Male,"Mumbai, India", mobile ,,3591.79,2024-12-28 21:29:51.000000
CUST1006,Thomas Weber,thomas.weber20@hotmail.com,36.0,Male,"Houston, USA",mobile,gold,1839.58,2025-10-21 14:46:57.000000
CUST1007,,andre.durand93@outlook.com,55.0,Female,"Delhi, India",desktop,bronze,12141.46,2024-08-15 09:55:10.000000
CUST1008,Gabriel Williams,gabriel.williams49@hotmail.com,68.0,,"Berlin, Germany",mobile,silver,10318.18,2024-12-30 10:33:19.000000
CUST1009,Ines Morris,ines.morris80@protonmail.com,23.0,Non-binary,"Delhi, India",,bronze,4520.84,2024-08-10 16:39:05.000000
CUST1010,Ethan Weber,ethan.weber57@yahoo.com,,Female,"Chicago, USA",tablet,bronze,2611.44,2024-08-21 01:23:33.000000
CUST1011,Jason Olsen,jason.olsen86@gmail.com,47.0,Female,"Delhi, India",desktop,bronze,7939.89,2024-05-08 20:09:39.000000
CUST1012,Priya Williams,priya.williams85@hotmail.com,54.0,Female,"Sydney, Australia",desktop,gold,4644.22,2024-08-28 16:01:19.000000
CUST1013,Stefan Muller,,68.0,Female,"Mumbai, India",mobile,platinum,5091.58,2025-11-22 01:07:54.000000
CUST1014,Ana Singh,ana.singh44@gmail.com,22.0,Prefer not to say,"Bangalore, India",desktop,bronze,1209.17,2025-09-19 18:35:17.000000
CUST1015,Henry Martinez,,53.0,Female,"London, UK",,bronze,3859.22,2024-08-16 08:59:23.000000
CUST1016,Oliver Patel,oliver.patel70@hotmail.com,64.0,Female,"Bangalore, India",tablet,platinum,9963.21,2025-08-01 14:00:23.000000
